id,source,pedon_id,order,lat,lon,latlon_q,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,mineral_d,ff_d,total_d,ccontent,total_c,ccontent_1m,total_c_1m,pedon_start
33,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,1,Lv/S,NA,40.0,39.0,1.0,0.11,0,0.0,2,56.2,0,100.0,40.0,140.0,618.0,48896.0,618.0,474.28,True
34,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,2,Fm,NA,39.0,35.0,4.0,0.11,0,0.0,2,50.51,0,,,,2222.0,,2222.0,,False
35,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,3,Hh1,NA,35.0,23.0,12.0,0.11,0,0.0,2,53.21,0,,,,7024.0,,7024.0,,False
36,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,4,Hh2,NA,23.0,20.0,3.0,0.11,0,0.0,2,50.9,0,,,,1680.0,,1680.0,,False
37,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,5,Hh3,NA,20.0,10.0,10.0,0.11,0,0.0,2,55.46,0,,,,6101.0,,6101.0,,False
38,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,6,Hh4,NA,10.0,0.0,10.0,0.11,0,0.0,2,47.58,0,,,,5234.0,,5234.0,,False
39,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,7,Ae,NA,0.0,-10.0,10.0,1.39,0,0.0,2,4.42,0,,,,6144.0,,6144.0,,False
40,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,8,Bhc1,NA,-10.0,-35.0,25.0,1.39,0,0.0,2,1.96,0,,,,6811.0,,6811.0,,False
41,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,9,Bhc2,NA,-35.0,-82.0,47.0,1.54,0,0.0,2,1.42,0,,,,10278.0,,10278.0,,False
42,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,10,Bfc,NA,-82.0,-85.0,3.0,1.54,0,0.0,2,1.67,0,,,,772.0,,772.0,,False
43,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,11,BC,NA,-85.0,-130.0,45.0,1.45,0,0.0,2,0.25,0,,,,1631.0,,544.0,,False
44,SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.7091667,HIGH,12,Cg,NA,-130.0,-162.0,32.0,1.49,0,0.0,2,0.08,0,,,,381.0,,0.0,,False
45,SANBORN & MASSICOTTE 2010,BC09-07,NA,54.06908333,-131.6772222,HIGH,1,NA,NA,,,,,0,0.0,2,,0,,,,,0.0,,0.0,True
46,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,1,Oi,NA,14.0,13.0,1.0,0.11,0,0.0,2,49.5,0,51.0,14.0,65.0,544.0,97884.0,544.0,978.84,True
47,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,2,Oe,NA,13.0,8.0,5.0,0.11,0,0.0,2,48.3,0,,,,2656.0,,2656.0,,False
48,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,3,Oa,NA,8.0,0.0,8.0,0.11,0,0.0,2,47.3,0,,,,4162.0,,4162.0,,False
49,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,4,E,NA,0.0,-3.0,3.0,0.93,0,0.0,2,4.7,0,,,,1311.0,,1311.0,,False
50,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,5,Bhs1,NA,-3.0,-10.0,7.0,1.71,0,0.0,2,12.4,0,,,,14843.0,,14843.0,,False
51,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,6,Bhs2,NA,-10.0,-35.0,25.0,1.71,0,0.0,2,8.5,0,,,,36338.0,,36338.0,,False
52,SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.1333333,LOW,7,Bhs3,NA,-35.0,-51.0,16.0,1.71,0,0.0,2,13.9,0,,,,38030.0,,38030.0,,False
53,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,1,Oa,NA,11.0,6.0,5.0,0.11,0,0.0,2,49.8,0,68.0,11.0,79.0,2739.0,86992.0,2739.0,869.92,True
54,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,2,Oa,NA,6.0,0.0,6.0,0.11,0,0.0,2,46.7,0,,,,3082.0,,3082.0,,False
55,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,3,E,NA,0.0,-2.0,2.0,0.93,0,0.0,2,5.5,0,,,,1023.0,,1023.0,,False
56,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,4,Bhs2,NA,-2.0,-20.0,18.0,1.71,0,0.0,2,7.1,0,,,,21854.0,,21854.0,,False
57,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,5,Bhs2,NA,-20.0,-35.0,15.0,1.71,0,0.0,2,9.0,0,,,,23085.0,,23085.0,,False
58,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,6,Bhs3,NA,-35.0,-45.0,10.0,1.71,0,0.0,2,7.0,0,,,,11970.0,,11970.0,,False
