id,source,pedon_id,order,lat,lon,latlon_q,horizon_number,horizon,ccontent,total_c,ccontent_1m,total_c_1m
101,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,3,Bfh1,4213.0,,4213.0,
102,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,4,Bfh2,3209.0,,3209.0,
103,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,5,Bf1,2359.0,,2359.0,
104,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,6,Bf2,1035.0,,1035.0,
105,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,7,Bfgj1,1020.0,,1020.0,
106,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,8,Bfgh2,1922.0,,1922.0,
107,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,9,BCd,373.0,,249.0,
108,LEWIS 1976,BW,Duric Humo-Ferric Podzol,50.5,-127.333,LOW,10,C,,,,
109,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,1,LF,1681.0,10648.0,1681.0,106.48
110,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,2,H,2552.0,,2552.0,
111,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,3,Ae,457.0,,457.0,
112,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,4,Bm1,1596.0,,1596.0,
113,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,5,Bm2,1522.0,,1522.0,
114,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,6,Bm3,1084.0,,1084.0,
115,LEWIS 1976,GD,Duric Dystric Brunisol,49.05,-124.1666667,LOW,7,Bmgj,995.0,,995.0,
