id,source,pedon_id,order,horizon_number,horizon,horizon_type,depth2,depth1,depth,bulk_density,bd_method,cf,cf_method,cconc,cconc_method,ccontent,ccontent_1m
58,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,6,Bhs3,,-35.0,-45.0,10.0,1.71,0,0.0,2,7.0,0,11970.0,11970.0
59,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,7,Bhs4,,-45.0,-55.0,10.0,1.71,0,0.0,2,11.9,0,20349.0,20349.0
60,SANBORN & LAVKULICH 1989,CARNATIONCREEK1,Ferro-Humic Podzol,8,Bms,,-55.0,-68.0,13.0,1.71,0,0.0,2,1.3,0,2890.0,2890.0
61,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,1,Oi,,11.0,9.0,2.0,0.11,0,0.0,2,47.0,0,1034.0,1034.0
62,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,2,Oe,,9.0,6.0,3.0,0.11,0,0.0,2,51.7,0,1706.0,1706.0
63,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,3,Oa,,6.0,0.0,6.0,0.11,0,0.0,2,50.2,0,3313.0,3313.0
64,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,4,Bhs1,,0.0,-20.0,20.0,1.71,0,0.0,2,14.6,0,49932.0,49932.0
65,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,5,Bhs2,,-20.0,-77.0,57.0,1.71,0,0.0,2,5.9,0,57507.0,57507.0
66,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,6,Bhs3,,-77.0,-123.0,46.0,1.71,0,0.0,2,9.7,0,76300.0,38150.0
67,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,7,Bhs4,,-123.0,-133.0,10.0,1.71,0,0.0,2,15.7,0,26847.0,0.0
68,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,8,Bhs5,,-133.0,-170.0,37.0,1.71,0,0.0,2,11.3,0,71495.0,0.0
69,SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,9,Bhs6,,-170.0,-210.0,40.0,1.71,0,0.0,2,9.9,0,67716.0,0.0
70,LEWIS 1976,AD,Duric Humo-Ferric Podzol,1,LF,,5.0,2.5,2.5,0.14,0,0.0,2,45.94,0,1608.0,1608.0
71,LEWIS 1976,AD,Duric Humo-Ferric Podzol,2,H,,2.5,0.0,2.5,0.14,0,0.0,2,36.94,0,1293.0,1293.0
72,LEWIS 1976,AD,Duric Humo-Ferric Podzol,3,Bfh,,0.0,-15.0,15.0,1.38,0,77.0,1,3.8,0,1809.0,1809.0
73,LEWIS 1976,AD,Duric Humo-Ferric Podzol,4,Bf1,,-15.0,-30.0,15.0,1.38,0,73.0,1,2.23,0,1246.0,1246.0
74,LEWIS 1976,AD,Duric Humo-Ferric Podzol,5,Bf2,,-30.0,-45.0,15.0,1.38,0,73.0,1,2.1,0,1174.0,1174.0
75,LEWIS 1976,AD,Duric Humo-Ferric Podzol,6,Bf3,,-45.0,-60.0,15.0,1.38,0,76.0,1,2.06,0,1023.0,1023.0
76,LEWIS 1976,AD,Duric Humo-Ferric Podzol,7,Bfgj1,,-60.0,-75.0,15.0,1.38,0,76.0,1,1.8,0,894.0,894.0
77,LEWIS 1976,AD,Duric Humo-Ferric Podzol,8,Bfgj2,,-75.0,-90.0,15.0,1.38,0,84.0,1,1.36,0,450.0,450.0
78,LEWIS 1976,AD,Duric Humo-Ferric Podzol,9,BCd,,-90.0,-105.0,15.0,1.38,0,54.0,1,0.43,0,409.0,273.0
79,LEWIS 1976,AD,Duric Humo-Ferric Podzol,10,C,,105.0,105.0,,,0,0.0,2,,0,,
80,LEWIS 1976,AW,Duric Ferro-Humic Podzol,1,LF,,10.0,7.5,2.5,0.11,0,0.0,2,43.07,0,1184.0,1184.0
81,LEWIS 1976,AW,Duric Ferro-Humic Podzol,2,H,,7.5,0.0,7.5,0.11,0,0.0,2,43.07,0,3553.0,3553.0
82,LEWIS 1976,AW,Duric Ferro-Humic Podzol,3,Bhf,,0.0,-15.0,15.0,0.86,0,46.0,1,7.1,0,4946.0,4946.0
83,LEWIS 1976,AW,Duric Ferro-Humic Podzol,4,Bfh1,,-15.0,-30.0,15.0,0.86,0,44.0,1,4.42,0,3193.0,3193.0
84,LEWIS 1976,AW,Duric Ferro-Humic Podzol,5,Bfh2,,-30.0,-45.0,15.0,0.86,0,42.0,1,3.88,0,2903.0,2903.0
85,LEWIS 1976,AW,Duric Ferro-Humic Podzol,6,Bfh3,,-45.0,-60.0,15.0,0.86,0,43.0,1,3.86,0,2838.0,2838.0
86,LEWIS 1976,AW,Duric Ferro-Humic Podzol,7,Bfh4,,-60.0,-75.0,15.0,0.86,0,54.0,1,4.92,0,2920.0,2920.0
87,LEWIS 1976,AW,Duric Ferro-Humic Podzol,8,Bfhgj,,-75.0,-90.0,15.0,0.86,0,50.0,1,5.74,0,3702.0,3702.0
88,LEWIS 1976,AW,Duric Ferro-Humic Podzol,9,BCd,,-90.0,-105.0,15.0,1.71,0,66.0,1,0.77,0,672.0,448.0
89,LEWIS 1976,AW,Duric Ferro-Humic Podzol,10,C,,105.0,105.0,0.0,,0,0.0,2,0.31,0,,
90,LEWIS 1976,BD,Duric Humo-Ferric Podzol,1,LF,,7.5,4.0,3.5,0.14,0,0.0,2,44.6,0,2185.0,2185.0
91,LEWIS 1976,BD,Duric Humo-Ferric Podzol,2,H,,4.0,0.0,4.0,0.14,0,0.0,2,32.92,0,1844.0,1844.0
92,LEWIS 1976,BD,Duric Humo-Ferric Podzol,3,Bf1,,0.0,-20.0,20.0,1.38,0,40.0,1,1.69,0,2799.0,2799.0
93,LEWIS 1976,BD,Duric Humo-Ferric Podzol,4,Bf2,,-20.0,-40.0,20.0,1.38,0,55.0,1,1.55,0,1925.0,1925.0
94,LEWIS 1976,BD,Duric Humo-Ferric Podzol,5,Bf3,,-40.0,-60.0,20.0,1.38,0,60.0,1,1.71,0,1888.0,1888.0
95,LEWIS 1976,BD,Duric Humo-Ferric Podzol,6,Bfgj1,,-60.0,-80.0,20.0,1.38,0,63.0,1,2.1,0,2145.0,2145.0
96,LEWIS 1976,BD,Duric Humo-Ferric Podzol,7,Bfgh2,,-80.0,-112.0,32.0,1.38,0,55.0,1,3.41,0,6776.0,4235.0
97,LEWIS 1976,BD,Duric Humo-Ferric Podzol,8,BCd,,-112.0,-127.0,15.0,1.38,0,39.0,1,0.27,0,341.0,0.0
98,LEWIS 1976,BD,Duric Humo-Ferric Podzol,9,C,,127.0,127.0,0.0,,0,0.0,2,0.12,0,,
99,LEWIS 1976,BW,Duric Humo-Ferric Podzol,1,LF,,10.0,7.5,2.5,0.14,0,0.0,2,48.23,0,1688.0,1688.0
100,LEWIS 1976,BW,Duric Humo-Ferric Podzol,2,H,,7.5,0.0,7.5,0.14,0,0.0,2,48.81,0,5125.0,5125.0
101,LEWIS 1976,BW,Duric Humo-Ferric Podzol,3,Bfh1,,0.0,-15.0,15.0,1.38,0,52.0,1,4.24,0,4213.0,4213.0
102,LEWIS 1976,BW,Duric Humo-Ferric Podzol,4,Bfh2,,-15.0,-30.0,15.0,1.38,0,52.0,1,3.23,0,3209.0,3209.0
103,LEWIS 1976,BW,Duric Humo-Ferric Podzol,5,Bf1,,-30.0,-45.0,15.0,1.38,0,46.0,1,2.11,0,2359.0,2359.0
104,LEWIS 1976,BW,Duric Humo-Ferric Podzol,6,Bf2,,-45.0,-60.0,15.0,1.38,0,59.0,1,1.22,0,1035.0,1035.0
105,LEWIS 1976,BW,Duric Humo-Ferric Podzol,7,Bfgj1,,-60.0,-75.0,15.0,1.38,0,56.0,1,1.12,0,1020.0,1020.0
106,LEWIS 1976,BW,Duric Humo-Ferric Podzol,8,Bfgh2,,-75.0,-90.0,15.0,1.38,0,56.0,1,2.11,0,1922.0,1922.0
107,LEWIS 1976,BW,Duric Humo-Ferric Podzol,9,BCd,,-90.0,-105.0,15.0,1.38,0,56.0,1,0.41,0,373.0,249.0
108,LEWIS 1976,BW,Duric Humo-Ferric Podzol,10,C,,105.0,105.0,0.0,,0,0.0,2,0.17,0,,
109,LEWIS 1976,GD,Duric Dystric Brunisol,1,LF,,7.5,5.0,2.5,0.16,0,0.0,2,42.02,0,1681.0,1681.0
110,LEWIS 1976,GD,Duric Dystric Brunisol,2,H,,5.0,0.0,5.0,0.16,0,0.0,2,31.9,0,2552.0,2552.0
111,LEWIS 1976,GD,Duric Dystric Brunisol,3,Ae,,0.0,-2.5,2.5,1.24,0,22.0,1,1.89,0,457.0,457.0
112,LEWIS 1976,GD,Duric Dystric Brunisol,4,Bm1,,-2.5,-17.5,15.0,1.45,0,44.0,1,1.31,0,1596.0,1596.0
113,LEWIS 1976,GD,Duric Dystric Brunisol,5,Bm2,,-17.5,-32.5,15.0,1.45,0,44.0,1,1.25,0,1522.0,1522.0
114,LEWIS 1976,GD,Duric Dystric Brunisol,6,Bm3,,-32.5,-47.5,15.0,1.45,0,44.0,1,0.89,0,1084.0,1084.0
115,LEWIS 1976,GD,Duric Dystric Brunisol,7,Bmgj,,-47.5,-62.5,15.0,1.45,0,56.0,1,1.04,0,995.0,995.0
116,LEWIS 1976,GD,Duric Dystric Brunisol,8,BCd,,-62.5,-77.5,15.0,1.45,0,0.0,2,0.35,0,761.0,761.0
117,LEWIS 1976,GD,Duric Dystric Brunisol,9,C,,-77.5,-77.5,0.0,,0,0.0,2,0.12,0,,
118,LEWIS 1976,GW,Duric Ferro-Humic Podzol,1,LF,,22.5,7.5,15.0,0.11,0,0.0,2,25.07,0,4137.0,4137.0
119,LEWIS 1976,GW,Duric Ferro-Humic Podzol,2,H,,7.5,0.0,7.5,0.11,0,0.0,2,50.34,0,4153.0,4153.0
120,LEWIS 1976,GW,Duric Ferro-Humic Podzol,3,Bhf1,,0.0,-15.0,15.0,0.86,0,49.0,1,10.98,0,7224.0,7224.0
121,LEWIS 1976,GW,Duric Ferro-Humic Podzol,4,Bhf2,,-15.0,-30.0,15.0,0.86,0,33.0,1,8.56,0,7398.0,7398.0
122,LEWIS 1976,GW,Duric Ferro-Humic Podzol,5,Bhf3,,-30.0,-45.0,15.0,0.86,0,29.0,1,7.93,0,7263.0,7263.0
123,LEWIS 1976,GW,Duric Ferro-Humic Podzol,6,Bhf4,,-45.0,-60.0,15.0,0.86,0,33.0,1,11.01,0,9516.0,9516.0
124,LEWIS 1976,GW,Duric Ferro-Humic Podzol,7,Bhfgj1,,-60.0,-75.0,15.0,0.86,0,48.0,1,9.58,0,6426.0,6426.0
125,LEWIS 1976,GW,Duric Ferro-Humic Podzol,8,Bhfgj2,,-75.0,-90.0,15.0,0.86,0,41.0,1,9.35,0,7116.0,7116.0
126,LEWIS 1976,GW,Duric Ferro-Humic Podzol,9,BCd,,-90.0,-105.0,15.0,1.71,0,54.0,1,1.51,0,1782.0,1188.0
127,LEWIS 1976,GW,Duric Ferro-Humic Podzol,10,C,,105.0,105.0,0.0,,0,0.0,2,1.43,0,,
128,LEWIS 1976,LW,Duric Ferro-Humic Podzol,1,LF,,12.5,10.0,2.5,0.11,0,0.0,2,33.41,0,919.0,919.0
129,LEWIS 1976,LW,Duric Ferro-Humic Podzol,2,H,,10.0,0.0,10.0,0.11,0,0.0,2,44.35,0,4878.0,4878.0
130,LEWIS 1976,LW,Duric Ferro-Humic Podzol,3,Bhf,,0.0,-15.0,15.0,0.86,0,35.0,1,6.13,0,5140.0,5140.0
131,LEWIS 1976,LW,Duric Ferro-Humic Podzol,4,Bhf,,-15.0,-30.0,15.0,0.86,0,39.0,1,5.38,0,4234.0,4234.0
132,LEWIS 1976,LW,Duric Ferro-Humic Podzol,5,Bfhgj1,,-30.0,-45.0,15.0,0.86,0,41.0,1,3.67,0,2793.0,2793.0
133,LEWIS 1976,LW,Duric Ferro-Humic Podzol,6,Bfhgj2,,-45.0,-55.0,10.0,0.86,0,45.0,1,3.3,0,1561.0,1561.0
134,LEWIS 1976,LW,Duric Ferro-Humic Podzol,7,BCd,,-55.0,-70.0,15.0,1.71,0,44.0,1,0.93,0,1336.0,1336.0
135,LEWIS 1976,LW,Duric Ferro-Humic Podzol,8,C,,-70.0,-70.0,0.0,,0,0.0,2,0.39,0,,
136,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,1,LF,,10.0,7.5,2.5,0.14,0,0.0,2,46.61,0,1631.0,1631.0
137,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,2,H,,7.5,0.0,7.5,0.14,0,0.0,2,43.16,0,4532.0,4532.0
138,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,3,Ae,,0.0,-5.0,5.0,1.31,0,22.0,1,1.16,0,593.0,593.0
139,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,4,Bfh,,-5.0,-20.0,15.0,1.46,0,32.0,1,2.98,0,4438.0,4438.0
140,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,5,Bf1,,-20.0,-35.0,15.0,1.46,0,36.0,1,2.59,0,3630.0,3630.0
141,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,6,Bf2,,-35.0,-50.0,15.0,1.46,0,35.0,1,1.63,0,2320.0,2320.0
142,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,7,Bf3,,-50.0,-65.0,15.0,1.46,0,34.0,1,0.85,0,1229.0,1229.0
143,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,8,Bf4,,-65.0,-80.0,15.0,1.46,0,43.0,1,1.96,0,2447.0,2447.0
144,LEWIS 1976,SW,Orthic Humo-Ferric Podzol,9,Bfgj1,,-80.0,-95.0,15.0,1.46,0,33.0,1,2.77,0,4064.0,4064.0
