Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY_MEAS,BULK DENSITY_SHAW,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,,,,,,,,,Canadian Order,HORIZON,,cconc_method
188,NRCS (Michaelson et al. 2013),84AK201003,"Coarse-loamy, mixed Typic Cryorthod",56.192,-133.529,HIGH,NA,NA,NA,C,79,107,28,,,,0.00,1.91,1.91,20,0.68,2909,,2182,,,,,,,,,,Humo-Ferric Podzol,C,,0
189,NRCS (Michaelson et al. 2013),81AK280002,Thixotropic-skeletal Humic Lithic Cryorthod,56.211,-132.698,HIGH,NA,NA,NA,Oa,8,0,8,5,8,13,0.00,0.15,0.15,0,36.07,4328,5770,NA,14.4,21.02,,,,,,,,Ferro-Humic Podzol,Oh,,1
190,NRCS (Michaelson et al. 2013),81AK280002,Thixotropic-skeletal Humic Lithic Cryorthod,56.211,-132.698,HIGH,NA,NA,NA,E,0,5,5,,,,0.00,0.93,0.93,23,4.03,1442,,1442,,,,,,,,,,Ferro-Humic Podzol,E,,0
191,NRCS (Michaelson et al. 2013),81AK280003,Thixotropic Humic Lithic Cryorthod,56.210,-132.697,HIGH,NA,NA,NA,Oa,10,0,10,13,10,23,0.00,0.15,0.15,0,36.07,5410,12198,NA,67.9,30.74,,,,,,,,Ferro-Humic Podzol,Oh,,1
192,NRCS (Michaelson et al. 2013),81AK280003,Thixotropic Humic Lithic Cryorthod,56.210,-132.697,HIGH,NA,NA,NA,E,0,10,10,,,,0.00,0.93,0.93,25,5.36,3738,,3738,,,,,,,,,,Ferro-Humic Podzol,E,,0
193,NRCS (Michaelson et al. 2013),81AK280003,Thixotropic Humic Lithic Cryorthod,56.210,-132.697,HIGH,NA,NA,NA,Bs,10,13,3,,,,0.00,1.17,1.17,20,10.86,3050,,3050,,,,,,,,,,Ferro-Humic Podzol,bf,,0
194,NRCS (Michaelson et al. 2013),83AK130122,Thixotropic-skeletal Typic Cryorthod,56.275,-133.304,HIGH,NA,NA,NA,Oe1,23,19,4,77,23,100,0.00,0.12,0.12,0,51.76,2485,37964,2485,379.6,83.92,,,,,,,,Humo-Ferric Podzol,Om1,,0
195,NRCS (Michaelson et al. 2013),83AK130122,Thixotropic-skeletal Typic Cryorthod,56.275,-133.304,HIGH,NA,NA,NA,Oe2,19,10,9,,,,0.00,0.12,0.12,0,62.02,6699,,6699,,,,,,,,,,Humo-Ferric Podzol,Om2,,0
196,NRCS (Michaelson et al. 2013),83AK130122,Thixotropic-skeletal Typic Cryorthod,56.275,-133.304,HIGH,NA,NA,NA,Oa,10,0,10,,,,0.00,0.15,0.15,0,34.84,5225,,5225,,,,,,,,,,Humo-Ferric Podzol,Oh,,0
197,NRCS (Michaelson et al. 2013),83AK130122,Thixotropic-skeletal Typic Cryorthod,56.275,-133.304,HIGH,NA,NA,NA,E,0,2,2,,,,0.00,1.31,1.31,7,7.36,1793,,1793,,,,,,,,,,Humo-Ferric Podzol,E,,0
198,NRCS (Michaelson et al. 2013),83AK130122,Thixotropic-skeletal Typic Cryorthod,56.275,-133.304,HIGH,NA,NA,NA,Bhs,2,7,5,,,,0.00,1.19,1.19,15,11.02,5572,,5572,,,,,,,,,,Humo-Ferric Podzol,Bhf,,0
199,NRCS (Michaelson et al. 2013),83AK130122,Thixotropic-skeletal Typic Cryorthod,56.275,-133.304,HIGH,NA,NA,NA,Bs,7,32,25,,,,0.00,1.46,1.46,17,3.41,10325,,10325,,,,,,,,,,Humo-Ferric Podzol,bf,,0
200,NRCS (Michaelson et al. 2013),83AK130122,Thixotropic-skeletal Typic Cryorthod,56.275,-133.304,HIGH,NA,NA,NA,2BC,32,77,45,,,,0.00,1.19,1.19,38,1.77,5866,,5866,,,,,,,,,,Humo-Ferric Podzol,2BC,,0
201,NRCS (Michaelson et al. 2013),81AK280009,Thixotrophic Skeletal Humic Cryorthod,56.296,-134.150,HIGH,NA,NA,NA,O1,8,5,3,127,8,135,0.00,0.11,0.11,0,37.79,1247,85960,1247,634.6,51.39,,,,,,,,Ferro-Humic Podzol,O1,,1
202,NRCS (Michaelson et al. 2013),81AK280009,Thixotrophic Skeletal Humic Cryorthod,56.296,-134.150,HIGH,NA,NA,NA,O2,5,0,5,,,,0.00,0.11,0.11,0,37.79,2079,,2079,,,,,,,,,,Ferro-Humic Podzol,O2,,1
203,NRCS (Michaelson et al. 2013),81AK280009,Thixotrophic Skeletal Humic Cryorthod,56.296,-134.150,HIGH,NA,NA,NA,E/A,0,3,3,,,,0.00,0.93,0.93,0,5.84,1629,,1629,,,,,,,,,,Ferro-Humic Podzol,E/A,,1
204,NRCS (Michaelson et al. 2013),81AK280009,Thixotrophic Skeletal Humic Cryorthod,56.296,-134.150,HIGH,NA,NA,NA,Bs,3,10,7,,,,0.00,1.17,1.17,19,6.64,4407,,4407,,,,,,,,,,Ferro-Humic Podzol,bf,,0
205,NRCS (Michaelson et al. 2013),81AK280009,Thixotrophic Skeletal Humic Cryorthod,56.296,-134.150,HIGH,NA,NA,NA,B,10,76,66,,,,0.00,1.71,1.71,36,4.72,34102,,34102,,,,,,,,,,Ferro-Humic Podzol,B,,0
206,NRCS (Michaelson et al. 2013),81AK280009,Thixotrophic Skeletal Humic Cryorthod,56.296,-134.150,HIGH,NA,NA,NA,C,76,127,51,,,,0.00,1.74,1.74,0,4.79,42497,,19998,,,,,,,,,,Ferro-Humic Podzol,C,,0
207,NRCS (Michaelson et al. 2013),98AK280001,"Loamy, mixed, dysic Terric Cryosaprist",56.301,-132.209,HIGH,NA,NA,NA,Oi,0,11,11,60,70,130,0.00,0.08,0.08,0,47.50,4180,71873,4180,582.1,191.01,,,,,,,,Humisol,Of,,0
208,NRCS (Michaelson et al. 2013),98AK280001,"Loamy, mixed, dysic Terric Cryosaprist",56.301,-132.209,HIGH,NA,NA,NA,Oa1,11,26,15,,,,0.00,0.15,0.15,0,46.02,10355,,10355,,,,,,,,,,Humisol,Oh1,,0
209,NRCS (Michaelson et al. 2013),98AK280001,"Loamy, mixed, dysic Terric Cryosaprist",56.301,-132.209,HIGH,NA,NA,NA,Oa2,26,53,27,,,,0.00,0.15,0.15,0,55.71,22563,,22563,,,,,,,,,,Humisol,Oh2,,0
210,NRCS (Michaelson et al. 2013),98AK280001,"Loamy, mixed, dysic Terric Cryosaprist",56.301,-132.209,HIGH,NA,NA,NA,Oa3,53,70,17,,,,0.00,0.15,0.15,0,35.56,9068,,9068,,,,,,,,,,Humisol,Oh3,,0
211,NRCS (Michaelson et al. 2013),98AK280001,"Loamy, mixed, dysic Terric Cryosaprist",56.301,-132.209,HIGH,NA,NA,NA,Ab,70,78,8,,,,1.12,0.93,1.12,1,5.18,4595,,4595,,,,,,,,,,Humisol,Ab,,0
212,NRCS (Michaelson et al. 2013),98AK280001,"Loamy, mixed, dysic Terric Cryosaprist",56.301,-132.209,HIGH,NA,NA,NA,Bg,78,103,25,,,,1.23,1.71,1.23,3,2.16,6443,,5670,,,,,,,,,,Humisol,Bg,,0
213,NRCS (Michaelson et al. 2013),98AK280001,"Loamy, mixed, dysic Terric Cryosaprist",56.301,-132.209,HIGH,NA,NA,NA,Cg1,103,118,15,,,,1.93,1.74,1.93,3,0.41,1151,,1151,,,,,,,,,,Humisol,Cg1,,0
214,NRCS (Michaelson et al. 2013),98AK280001,"Loamy, mixed, dysic Terric Cryosaprist",56.301,-132.209,HIGH,NA,NA,NA,Cg2,118,130,12,,,,2.08,1.74,2.08,10,0.28,629,,629,,,,,,,,,,Humisol,Cg2,,0
215,NRCS (Michaelson et al. 2013),98AK280001,"Loamy, mixed, dysic Terric Cryosaprist",56.301,-132.209,HIGH,NA,NA,NA,C1 / C2,103,130,27,,,,0.00,1.74,1.74,0,2.74,12891,,0,,,,,,,,,,Humisol,C1 / C2,,1
216,NRCS (Michaelson et al. 2013),98AK280002,Dysic Hemic Cryosaprist,56.301,-132.209,HIGH,NA,NA,NA,Oi,0,7,7,0,130,130,0.00,0.08,0.08,0,48.69,2727,82720,2727,629.5,122.24,,,,,,,,Humisol,Of,,0
217,NRCS (Michaelson et al. 2013),98AK280002,Dysic Hemic Cryosaprist,56.301,-132.209,HIGH,NA,NA,NA,Oa,7,15,8,,,,0.00,0.15,0.15,0,50.15,6018,,6018,,,,,,,,,,Humisol,Oh,,0
218,NRCS (Michaelson et al. 2013),98AK280002,Dysic Hemic Cryosaprist,56.301,-132.209,HIGH,NA,NA,NA,Oe1,15,22,7,,,,0.00,0.12,0.12,0,52.19,4384,,4384,,,,,,,,,,Humisol,Om1,,0
219,NRCS (Michaelson et al. 2013),98AK280002,Dysic Hemic Cryosaprist,56.301,-132.209,HIGH,NA,NA,NA,Oe2,22,45,23,,,,0.00,0.12,0.12,0,53.60,14794,,14794,,,,,,,,,,Humisol,Om2,,0
220,NRCS (Michaelson et al. 2013),98AK280002,Dysic Hemic Cryosaprist,56.301,-132.209,HIGH,NA,NA,NA,Oe3,45,90,45,,,,0.00,0.12,0.12,0,52.66,28436,,28436,,,,,,,,,,Humisol,Om3,,0
221,NRCS (Michaelson et al. 2013),98AK280002,Dysic Hemic Cryosaprist,56.301,-132.209,HIGH,NA,NA,NA,Oe4,90,130,40,,,,0.00,0.12,0.12,0,54.92,26362,,6590,,,,,,,,,,Humisol,Om4,,0
222,NRCS (Michaelson et al. 2013),98AK280003,"Coarse-loamy, mixed, active Typic Cryaquod",56.302,-132.206,HIGH,NA,NA,NA,Oi,0,7,7,75,25,100,0.00,0.08,0.08,0,49.72,2784,29233,2784,292.3,91.52,,,,,,,,Humic Podzol,Of,,0
223,NRCS (Michaelson et al. 2013),98AK280003,"Coarse-loamy, mixed, active Typic Cryaquod",56.302,-132.206,HIGH,NA,NA,NA,Oa,7,25,18,,,,0.00,0.15,0.15,0,33.31,8994,,8994,,,,,,,,,,Humic Podzol,Oh,,0
224,NRCS (Michaelson et al. 2013),98AK280003,"Coarse-loamy, mixed, active Typic Cryaquod",56.302,-132.206,HIGH,NA,NA,NA,Bhs1,25,33,8,,,,1.10,0.86,1.1,1,7.25,6316,,6316,,,,,,,,,,Humic Podzol,Bhf1,,0
225,NRCS (Michaelson et al. 2013),98AK280003,"Coarse-loamy, mixed, active Typic Cryaquod",56.302,-132.206,HIGH,NA,NA,NA,Bhs2,33,40,7,,,,1.80,0.86,1.8,3,3.35,4094,,4094,,,,,,,,,,Humic Podzol,Bhf2,,0
226,NRCS (Michaelson et al. 2013),98AK280003,"Coarse-loamy, mixed, active Typic Cryaquod",56.302,-132.206,HIGH,NA,NA,NA,Bs,40,53,13,,,,1.33,1.17,1.33,2,2.45,4151,,4151,,,,,,,,,,Humic Podzol,bf,,0
227,NRCS (Michaelson et al. 2013),98AK280003,"Coarse-loamy, mixed, active Typic Cryaquod",56.302,-132.206,HIGH,NA,NA,NA,C1,53,80,27,,,,1.93,1.74,1.93,21,0.37,1523,,1523,,,,,,,,,,Humic Podzol,C1,,0
228,NRCS (Michaelson et al. 2013),98AK280003,"Coarse-loamy, mixed, active Typic Cryaquod",56.302,-132.206,HIGH,NA,NA,NA,C2,80,100,20,,,,0.00,1.74,1.74,18,0.48,1370,,1370,,,,,,,,,,Humic Podzol,C2,,0
229,NRCS (Michaelson et al. 2013),98AK280004,Spodosol,56.302,-132.206,HIGH,NA,NA,NA,Oi,0,7,7,86,14,100,0.00,0.08,0.08,0,50.37,2821,37983,2821,379.8,50.71,,,,,,,,Humic Podzol,Of,,0
230,NRCS (Michaelson et al. 2013),98AK280004,Spodosol,56.302,-132.206,HIGH,NA,NA,NA,Oa,7,14,7,,,,0.00,0.15,0.15,0,40.41,4243,,4243,,,,,,,,,,Humic Podzol,Oh,,0
231,NRCS (Michaelson et al. 2013),98AK280004,Spodosol,56.302,-132.206,HIGH,NA,NA,NA,Eh,14,19,5,,,,0.00,0.93,0.93,1,12.64,5819,,5819,,,,,,,,,,Humic Podzol,Eh,,0
232,NRCS (Michaelson et al. 2013),98AK280004,Spodosol,56.302,-132.206,HIGH,NA,NA,NA,Bh,19,26,7,,,,1.07,0.86,1.07,0,4.16,3116,,3116,,,,,,,,,,Humic Podzol,Bh,,0
233,NRCS (Michaelson et al. 2013),98AK280004,Spodosol,56.302,-132.206,HIGH,NA,NA,NA,Bs1,26,43,17,,,,1.68,1.17,1.68,2,2.93,8201,,8201,,,,,,,,,,Humic Podzol,bf1,,0
234,NRCS (Michaelson et al. 2013),98AK280004,Spodosol,56.302,-132.206,HIGH,NA,NA,NA,Bs2,43,66,23,,,,1.52,1.17,1.52,2,2.74,9387,,9387,,,,,,,,,,Humic Podzol,bf2,,0
235,NRCS (Michaelson et al. 2013),98AK280004,Spodosol,56.302,-132.206,HIGH,NA,NA,NA,C,66,100,34,,,,1.79,1.74,1.79,14,0.84,4397,,4397,,,,,,,,,,Humic Podzol,C,,0
236,NRCS (Michaelson et al. 2013),98AK280004,Spodosol,56.302,-132.206,HIGH,NA,NA,NA,,42,48,6,,,,0.00,0,0,1,1.76,0,,0,,,,,,,,,,Humic Podzol,,,0
237,NRCS (Michaelson et al. 2013),98AK280004,Spodosol,56.302,-132.206,HIGH,NA,NA,NA,,44,46,2,,,,0.00,0,0,0,15.75,0,,0,,,,,,,,,,Humic Podzol,,,0
238,NRCS (Michaelson et al. 2013),84AK201001,"Coarse-loamy, mixed Humic Cryorthod",56.344,-132.519,HIGH,NA,NA,NA,Oi1,15,8,7,106,15,121,0.00,0.08,0.08,,36.67,2053,71279,2053,666.9,78.20,,,,,,,,Ferro-Humic Podzol,Of1,,1
239,NRCS (Michaelson et al. 2013),84AK201001,"Coarse-loamy, mixed Humic Cryorthod",56.344,-132.519,HIGH,NA,NA,NA,Oi2,8,0,8,,,,0.00,0.08,0.08,,36.67,2347,,2347,,,,,,,,,,Ferro-Humic Podzol,Of2,,1
240,NRCS (Michaelson et al. 2013),84AK201001,"Coarse-loamy, mixed Humic Cryorthod",56.344,-132.519,HIGH,NA,NA,NA,E / Bhs,0,12,12,,,,0.00,0.86,0.86,5,11.41,11186,,11186,,,,,,,,,,Ferro-Humic Podzol,E / Bhf,,0
241,NRCS (Michaelson et al. 2013),84AK201001,"Coarse-loamy, mixed Humic Cryorthod",56.344,-132.519,HIGH,NA,NA,NA,Bs1,12,32,20,,,,0.00,1.17,1.17,9,4.47,9518,,9518,,,,,,,,,,Ferro-Humic Podzol,bf1,,0
242,NRCS (Michaelson et al. 2013),84AK201001,"Coarse-loamy, mixed Humic Cryorthod",56.344,-132.519,HIGH,NA,NA,NA,Bs2,32,60,28,,,,0.00,1.17,1.17,6,3.56,10963,,10963,,,,,,,,,,Ferro-Humic Podzol,bf2,,0
243,NRCS (Michaelson et al. 2013),84AK201001,"Coarse-loamy, mixed Humic Cryorthod",56.344,-132.519,HIGH,NA,NA,NA,C,60,106,46,,,,0.00,1.74,1.74,6,4.68,35211,,30618,,,,,,,,,,Ferro-Humic Podzol,C,,0
244,NRCS (Michaelson et al. 2013),84AK201005,"Coarse-loamy, mixed Humic Lithic Cryorthod",56.333,-133.350,HIGH,NA,NA,NA,Oa,5,0,5,48,5,53,0.00,0.15,0.15,0,36.88,2766,27232,2766,272.3,29.85,,,,,,,,Ferro-Humic Podzol,Oh,,0
245,NRCS (Michaelson et al. 2013),84AK201005,"Coarse-loamy, mixed Humic Lithic Cryorthod",56.333,-133.350,HIGH,NA,NA,NA,Bhs,0,5,5,,,,0.00,0.86,0.86,2,6.87,2895,,2895,,,,,,,,,,Ferro-Humic Podzol,Bhf,,0
246,NRCS (Michaelson et al. 2013),84AK201005,"Coarse-loamy, mixed Humic Lithic Cryorthod",56.333,-133.350,HIGH,NA,NA,NA,Bs,5,19,14,,,,0.00,1.17,1.17,8,2.26,3406,,3406,,,,,,,,,,Ferro-Humic Podzol,bf,,0
247,NRCS (Michaelson et al. 2013),84AK201005,"Coarse-loamy, mixed Humic Lithic Cryorthod",56.333,-133.350,HIGH,NA,NA,NA,BC,19,48,29,,,,0.00,1.71,1.71,1,3.70,18165,,18165,,,,,,,,,,Ferro-Humic Podzol,BC,,0
248,NRCS (Michaelson et al. 2013),83AK280004,Medial-skeletal Humic Cryorthod,56.426,-132.933,HIGH,NA,NA,NA,O,10,0,10,152,10,162,0.00,0.11,0.11,0,28.19,3101,40132,3101,362.4,49.10,,,,,,,,Ferro-Humic Podzol,O,,0
249,NRCS (Michaelson et al. 2013),83AK280004,Medial-skeletal Humic Cryorthod,56.426,-132.933,HIGH,NA,NA,NA,A,0,3,3,,,,0.00,0.93,0.93,0,6.60,1843,,1843,,,,,,,,,,Ferro-Humic Podzol,A,,0
250,NRCS (Michaelson et al. 2013),83AK280004,Medial-skeletal Humic Cryorthod,56.426,-132.933,HIGH,NA,NA,NA,Bhs1,3,10,7,,,,0.00,0.86,0.86,1,13.73,8182,,8182,,,,,,,,,,Ferro-Humic Podzol,Bhf1,,0
251,NRCS (Michaelson et al. 2013),83AK280004,Medial-skeletal Humic Cryorthod,56.426,-132.933,HIGH,NA,NA,NA,Bhs2,10,25,15,,,,0.00,0.86,0.86,1,9.21,11763,,11763,,,,,,,,,,Ferro-Humic Podzol,Bhf2,,0
252,NRCS (Michaelson et al. 2013),83AK280004,Medial-skeletal Humic Cryorthod,56.426,-132.933,HIGH,NA,NA,NA,B,25,48,23,,,,0.00,1.71,1.71,32,2.79,7462,,7462,,,,,,,,,,Ferro-Humic Podzol,B,,0
253,NRCS (Michaelson et al. 2013),83AK280004,Medial-skeletal Humic Cryorthod,56.426,-132.933,HIGH,NA,NA,NA,C,48,152,104,,,,0.00,1.74,1.74,27,0.59,7780,,3890,,,,,,,,,,Ferro-Humic Podzol,C,,0
254,NRCS (Michaelson et al. 2013),82AK280231,Medial-skeletal Humic Cryorthod,56.439,-133.621,HIGH,NA,NA,NA,Oa,3,0,3,107,3,110,0.00,0.15,0.15,,36.07,1623,62061,1623,583.3,61.51,,,,,,,,Ferro-Humic Podzol,Oh,,1
255,NRCS (Michaelson et al. 2013),82AK280231,Medial-skeletal Humic Cryorthod,56.439,-133.621,HIGH,NA,NA,NA,Oe,0,8,8,,,,0.00,0.12,0.12,1,47.34,4499,,4499,,,,,,,,,,Ferro-Humic Podzol,A,,0
256,NRCS (Michaelson et al. 2013),82AK280231,Medial-skeletal Humic Cryorthod,56.439,-133.621,HIGH,NA,NA,NA,Bhs,8,18,10,,,,0.00,0.86,0.86,23,23.46,15536,,15536,,,,,,,,,,Ferro-Humic Podzol,Bhf,,0
257,NRCS (Michaelson et al. 2013),82AK280231,Medial-skeletal Humic Cryorthod,56.439,-133.621,HIGH,NA,NA,NA,Bs,18,30,12,,,,0.00,1.17,1.17,69,12.67,5513,,5513,,,,,,,,,,Ferro-Humic Podzol,bf,,0
258,NRCS (Michaelson et al. 2013),82AK280231,Medial-skeletal Humic Cryorthod,56.439,-133.621,HIGH,NA,NA,NA,B,30,61,31,,,,0.00,1.71,1.71,77,8.52,10383,,10383,,,,,,,,,,Ferro-Humic Podzol,B,,0
259,NRCS (Michaelson et al. 2013),82AK280231,Medial-skeletal Humic Cryorthod,56.439,-133.621,HIGH,NA,NA,NA,C,61,107,46,,,,0.00,1.74,1.74,68,9.57,24507,,20777,,,,,,,,,,Ferro-Humic Podzol,C,,0
260,NRCS (Michaelson et al. 2013),81AK280007,Thixotropic Humic Cryorthod,56.461,-132.617,HIGH,NA,NA,NA,O,5,0,5,152,5,157,0.00,0.11,0.11,0,37.79,2079,38977,2079,313.4,37.76,,,,,,,,Ferro-Humic Podzol,O,,1
261,NRCS (Michaelson et al. 2013),81AK280007,Thixotropic Humic Cryorthod,56.461,-132.617,HIGH,NA,NA,NA,E1,0,8,8,,,,0.00,0.93,0.93,0,17.07,12700,,12700,,,,,,,,,,Ferro-Humic Podzol,E1,,0
262,NRCS (Michaelson et al. 2013),81AK280007,Thixotropic Humic Cryorthod,56.461,-132.617,HIGH,NA,NA,NA,E2,8,15,7,,,,0.00,0.93,0.93,0,5.17,3363,,3363,,,,,,,,,,Ferro-Humic Podzol,E2,,0
263,NRCS (Michaelson et al. 2013),81AK280007,Thixotropic Humic Cryorthod,56.461,-132.617,HIGH,NA,NA,NA,Bs1,15,38,23,,,,0.00,1.17,1.17,0,1.66,4469,,4469,,,,,,,,,,Ferro-Humic Podzol,bf1,,0
264,NRCS (Michaelson et al. 2013),81AK280007,Thixotropic Humic Cryorthod,56.461,-132.617,HIGH,NA,NA,NA,Bs2,38,56,18,,,,0.00,1.17,1.17,5,1.01,2028,,2028,,,,,,,,,,Ferro-Humic Podzol,bf2,,0
265,NRCS (Michaelson et al. 2013),81AK280007,Thixotropic Humic Cryorthod,56.461,-132.617,HIGH,NA,NA,NA,C1,56,94,38,,,,0.00,1.74,1.74,5,0.93,5822,,5822,,,,,,,,,,Ferro-Humic Podzol,C1,,0
266,NRCS (Michaelson et al. 2013),81AK280007,Thixotropic Humic Cryorthod,56.461,-132.617,HIGH,NA,NA,NA,C2,94,152,58,,,,0.00,1.74,1.74,5,0.89,8516,,881,,,,,,,,,,Ferro-Humic Podzol,C2,,0
267,NRCS (Michaelson et al. 2013),81AK280014,"Sandy-skeletal, mixed Entic Cryumbrept",56.496,-133.372,HIGH,NA,NA,NA,O1,20,15,5,91,20,111,0.00,0.16,0.16,0,37.79,3023,27453,3023,274.5,36.17,,,,,,,,Dystric Brunisol,O1,,1
268,NRCS (Michaelson et al. 2013),81AK280014,"Sandy-skeletal, mixed Entic Cryumbrept",56.496,-133.372,HIGH,NA,NA,NA,O2,15,0,15,,,,0.00,0.16,0.16,0,37.79,9070,,9070,,,,,,,,,,Dystric Brunisol,O2,,1
269,NRCS (Michaelson et al. 2013),81AK280014,"Sandy-skeletal, mixed Entic Cryumbrept",56.496,-133.372,HIGH,NA,NA,NA,E,0,23,23,,,,0.00,1.24,1.24,0,2.07,5914,,5914,,,,,,,,,,Dystric Brunisol,E,,0
270,NRCS (Michaelson et al. 2013),81AK280014,"Sandy-skeletal, mixed Entic Cryumbrept",56.496,-133.372,HIGH,NA,NA,NA,C,23,91,68,,,,0.00,1.38,1.38,65,2.88,9447,,9447,,,,,,,,,,Dystric Brunisol,C,,0
271,NRCS (Michaelson et al. 2013),81AK280006,Thixotropic Humic Cryorthod,56.583,-133.783,HIGH,NA,NA,NA,O,13,0,13,152,13,165,0.00,0.11,0.11,0,37.79,5404,154334,5404,1050.4,89.59,,,,,,,,Ferro-Humic Podzol,O,,1
272,NRCS (Michaelson et al. 2013),81AK280006,Thixotropic Humic Cryorthod,56.583,-133.783,HIGH,NA,NA,NA,Bhs,0,10,10,,,,0.00,0.86,0.86,10,18.01,13937,,13937,,,,,,,,,,Ferro-Humic Podzol,Bhf,,0
273,NRCS (Michaelson et al. 2013),81AK280006,Thixotropic Humic Cryorthod,56.583,-133.783,HIGH,NA,NA,NA,Bs,10,28,18,,,,0.00,1.17,1.17,10,9.20,17440,,17440,,,,,,,,,,Ferro-Humic Podzol,bf,,0
274,NRCS (Michaelson et al. 2013),81AK280006,Thixotropic Humic Cryorthod,56.583,-133.783,HIGH,NA,NA,NA,C,28,152,124,,,,0.00,1.74,1.74,10,6.05,117553,,68257,,,,,,,,,,Ferro-Humic Podzol,C,,0
275,NRCS (Michaelson et al. 2013),82AK280002,Medial-skeletal Sideric Cryaquod,56.597,-133.700,HIGH,NA,NA,NA,O1,20,5,15,102,20,122,0.00,0.11,0.11,0,37.79,6236,35813,6236,354.7,71.49,,,,,,,,Humic Podzol,O1,,1
276,NRCS (Michaelson et al. 2013),82AK280002,Medial-skeletal Sideric Cryaquod,56.597,-133.700,HIGH,NA,NA,NA,O2,5,0,5,,,,0.00,0.11,0.11,0,37.79,2079,,2079,,,,,,,,,,Humic Podzol,O2,,1
277,NRCS (Michaelson et al. 2013),82AK280002,Medial-skeletal Sideric Cryaquod,56.597,-133.700,HIGH,NA,NA,NA,A,0,5,5,,,,0.00,0.93,0.93,0,8.63,4014,,4014,,,,,,,,,,Humic Podzol,A,,0
278,NRCS (Michaelson et al. 2013),82AK280002,Medial-skeletal Sideric Cryaquod,56.597,-133.700,HIGH,NA,NA,NA,Bhs,5,23,18,,,,0.00,0.86,0.86,30,7.16,7763,,7763,,,,,,,,,,Humic Podzol,Bhf,,0
279,NRCS (Michaelson et al. 2013),82AK280002,Medial-skeletal Sideric Cryaquod,56.597,-133.700,HIGH,NA,NA,NA,Bs,23,28,5,,,,0.00,1.17,1.17,20,6.85,3204,,3204,,,,,,,,,,Humic Podzol,bf,,0
280,NRCS (Michaelson et al. 2013),82AK280002,Medial-skeletal Sideric Cryaquod,56.597,-133.700,HIGH,NA,NA,NA,C,28,102,74,,,,0.00,1.74,1.74,5,1.02,12519,,12180,,,,,,,,,,Humic Podzol,C,,0
281,NRCS (Michaelson et al. 2013),81AK280010,"Medial over sandy or sandy-skeletal, mixed Typic Cryorthod",56.700,-134.244,HIGH,NA,NA,NA,O1,10,8,2,142,10,152,0.00,0.14,0.14,0,37.79,1058,47132,1058,395.4,48.46,,,,,,,,Humo-Ferric Podzol,O1,,1
282,NRCS (Michaelson et al. 2013),81AK280010,"Medial over sandy or sandy-skeletal, mixed Typic Cryorthod",56.700,-134.244,HIGH,NA,NA,NA,O2,8,0,8,,,,0.00,0.14,0.14,0,37.79,4233,,4233,,,,,,,,,,Humo-Ferric Podzol,O2,,1
283,NRCS (Michaelson et al. 2013),81AK280010,"Medial over sandy or sandy-skeletal, mixed Typic Cryorthod",56.700,-134.244,HIGH,NA,NA,NA,E,0,3,3,,,,0.00,1.31,1.31,0,5.67,2227,,2227,,,,,,,,,,Humo-Ferric Podzol,E,,0
284,NRCS (Michaelson et al. 2013),81AK280010,"Medial over sandy or sandy-skeletal, mixed Typic Cryorthod",56.700,-134.244,HIGH,NA,NA,NA,Bh,3,8,5,,,,0.00,1.19,1.19,0,9.38,5578,,5578,,,,,,,,,,Humo-Ferric Podzol,Bh,,0
285,NRCS (Michaelson et al. 2013),81AK280010,"Medial over sandy or sandy-skeletal, mixed Typic Cryorthod",56.700,-134.244,HIGH,NA,NA,NA,B,8,23,15,,,,0.00,1.19,1.19,5,6.06,10282,,10282,,,,,,,,,,Humo-Ferric Podzol,B,,0
286,NRCS (Michaelson et al. 2013),81AK280010,"Medial over sandy or sandy-skeletal, mixed Typic Cryorthod",56.700,-134.244,HIGH,NA,NA,NA,2C1,23,36,13,,,,0.00,1.91,1.91,0,1.26,3141,,3141,,,,,,,,,,Humo-Ferric Podzol,2C1,,0
287,NRCS (Michaelson et al. 2013),81AK280010,"Medial over sandy or sandy-skeletal, mixed Typic Cryorthod",56.700,-134.244,HIGH,NA,NA,NA,2C2,36,46,10,,,,0.00,1.91,1.91,25,2.28,3264,,3264,,,,,,,,,,Humo-Ferric Podzol,2C2,,0
288,NRCS (Michaelson et al. 2013),81AK280010,"Medial over sandy or sandy-skeletal, mixed Typic Cryorthod",56.700,-134.244,HIGH,NA,NA,NA,2C3,46,142,96,,,,0.00,1.91,1.91,0,0.95,17349,,9759,,,,,,,,,,Humo-Ferric Podzol,2C3,,0
289,NRCS (Michaelson et al. 2013),81AK280011,Thixotropic-skeletal Typic Cryaquod,56.757,-133.917,HIGH,NA,NA,NA,O,8,0,8,71,8,79,0.00,0.11,0.11,0,37.79,3326,29630,3326,296.3,45.55,,,,,,,,Humic Podzol,O,,1
290,NRCS (Michaelson et al. 2013),81AK280011,Thixotropic-skeletal Typic Cryaquod,56.757,-133.917,HIGH,NA,NA,NA,E1,0,18,18,,,,0.00,0.93,0.93,19,8.38,11364,,11364,,,,,,,,,,Humic Podzol,E1,,0
