Row,SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY_MEAS,BULK DENSITY_SHAW,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,,,,,,,,,Canadian Order,HORIZON,,cconc_method
41,NRCS (Michaelson et al. 2013),90AK110006,"Sandy or sandy-skeletal, mixed Typic Cryorthent",58.411,-134.557,HIGH,NA,NA,NA,C2,56,90,34,,,,0.00,1.1,1.1,22,0.17,497,,497,,,,,,,,,,Humic Regosol,C2,,0
42,NRCS (Michaelson et al. 2013),90AK110003,"Mixed, frigid Typic Udipsamment",58.422,-134.541,HIGH,NA,NA,NA,A,0,5,5,100,0,100,0.00,0.97,0.97,18,0.04,16,201,16,2.0,0.39,,,,,,,,Humic Regosol,A,,0
43,NRCS (Michaelson et al. 2013),90AK110003,"Mixed, frigid Typic Udipsamment",58.422,-134.541,HIGH,NA,NA,NA,C1,5,22,17,,,,0.00,1.1,1.1,8,0.03,45,,45,,,,,,,,,,Humic Regosol,C1,,0
44,NRCS (Michaelson et al. 2013),90AK110003,"Mixed, frigid Typic Udipsamment",58.422,-134.541,HIGH,NA,NA,NA,C2,22,100,78,,,,0.00,1.1,1.1,6,0.02,140,,140,,,,,,,,,,Humic Regosol,C2,,0
45,NRCS (Michaelson et al. 2013),90AK110004,Mixed Typic Cryopsamment,58.418,-134.552,HIGH,NA,NA,NA,Oi,5,4,1,95,5,100,0.00,0.08,0.08,0,36.72,294,1641,294,16.4,6.34,,,,,,,,Humic Regosol,Of,,0
46,NRCS (Michaelson et al. 2013),90AK110004,Mixed Typic Cryopsamment,58.418,-134.552,HIGH,NA,NA,NA,Oe,4,0,4,,,,0.00,0.12,0.12,0,17.01,816,,816,,,,,,,,,,Humic Regosol,Om,,0
47,NRCS (Michaelson et al. 2013),90AK110004,Mixed Typic Cryopsamment,58.418,-134.552,HIGH,NA,NA,NA,A,0,12,12,,,,0.00,0.97,0.97,30,0.23,188,,188,,,,,,,,,,Humic Regosol,A,,0
48,NRCS (Michaelson et al. 2013),90AK110004,Mixed Typic Cryopsamment,58.418,-134.552,HIGH,NA,NA,NA,C1,12,48,36,,,,0.00,1.1,1.1,35,0.07,179,,179,,,,,,,,,,Humic Regosol,C1,,0
49,NRCS (Michaelson et al. 2013),90AK110004,Mixed Typic Cryopsamment,58.418,-134.552,HIGH,NA,NA,NA,C2,48,95,47,,,,0.00,1.1,1.1,37,0.05,164,,164,,,,,,,,,,Humic Regosol,C2,,0
50,NRCS (Michaelson et al. 2013),90AK110009,"Loamy-skeletal, mixed Typic Cryorthod",58.419,-134.601,HIGH,NA,NA,NA,Oi,10,8,2,9,10,19,0.00,0.08,0.08,0,48.79,781,6607,781,66.1,19.14,,,,,,,,Humo-Ferric Podzol,Of,,0
