SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,240,27.5,N,Oe,9,6,3,,,,0.11,,51.70,1706,,1706,
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,240,27.5,N,Oa,6,0,6,,,,0.11,,50.20,3313,,3313,
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,240,27.5,N,Bhs1,0,-20,20,,,,1.71,,14.60,49932,,49932,
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,240,27.5,N,Bhs2,-20,-77,57,,,,1.71,,5.90,57507,,57507,
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,240,27.5,N,Bhs3,-77,-123,46,,,,1.71,,9.70,76300,,38150,
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,240,27.5,N,Bhs4,-123,-133,10,,,,1.71,,15.70,26847,,0,
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,240,27.5,N,Bhs5,-133,-170,37,,,,1.71,,11.30,71495,,0,
SANBORN & LAVKULICH 1989,CARNATIONCREEK2,Ferro-Humic Podzol,48.91666667,-124.9833333,LOW,240,27.5,N,Bhs6,-170,-210,40,,,,1.71,,9.90,67716,,0,
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,LF,5,2.5,2.5,100,5,105,0.14,,45.94,1608,9911,1608,97.7
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,H,2.5,0,2.5,,,,0.14,,36.94,1293,,1293,
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bfh,0,-15,15,,,,1.38,77,3.80,1809,,1809,
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bf1,-15,-30,15,,,,1.38,73,2.23,1246,,1246,
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bf2,-30,-45,15,,,,1.38,73,2.10,1174,,1174,
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bf3,-45,-60,15,,,,1.38,76,2.06,1023,,1023,
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bfgj1,-60,-75,15,,,,1.38,76,1.80,894,,894,
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,Bfgj2,-75,-90,15,,,,1.38,84,1.36,450,,450,
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,BCd,-90,-105,15,,,,1.38,54,0.43,412,,275,
LEWIS 1976,AD,Duric Humo-Ferric Podzol,48.85,-124.25,LOW,229,25,E,C,105,105,NA,,,,NA,,NA,NA,,NA,
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,LF,10,7.5,2.5,100,10,110,0.11,,43.07,1184,25911,1184,256.9
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,H,7.5,0,7.5,,,,0.11,,43.07,3553,,3553,
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,Bhf,0,-15,15,,,,0.86,46,7.10,4946,,4946,
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,Bfh1,-15,-30,15,,,,0.86,44,4.42,3193,,3193,
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,Bfh2,-30,-45,15,,,,0.86,42,3.88,2903,,2903,
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,Bfh3,-45,-60,15,,,,0.86,43,3.86,2838,,2838,
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,Bfh4,-60,-75,15,,,,0.86,54,4.92,2920,,2920,
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,Bfhgj,-75,-90,15,,,,0.86,50,5.74,3702,,3702,
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,BCd,-90,-105,15,,,,1.71,66,0.77,672,,448,
LEWIS 1976,AW,Duric Ferro-Humic Podzol,50.7,-128.0333333,LOW,168,20,E,C,105,105,0,,,,NA,,0.31,NA,,NA,
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,244,10,W,LF,7.5,4,3.5,100,8,108,0.14,,44.60,2185,19902,2185,170.2
LEWIS 1976,BD,Duric Humo-Ferric Podzol,50.2,-125.5166667,LOW,244,10,W,H,4,0,4,,,,0.14,,32.92,1844,,1844,
