SOURCE,ID,ORDER,LAT ,LON,LATLON_Q,Elevation,Slope,Aspect,HORIZON,DEPTH2,DEPTH1,DEPTH,MINERAL_D,FF_D,TOTAL_D,BULK DENSITY,CF,CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,CCONC_SLOPE,Depth of Mean,Real Depth,1/-Trendline Slope,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,53.17611111,-128.6694444,HIGH,NA,NA,NA,Bf,-5,-100,95,,,,1.46,12,2.23,27177,,27177,,0.047,32.5,52.5,-0.046875732,,,
KRANABETTER AND BANNER 2000,Boatbluff8,Orthic Ferro-Humic Podozol,52.65527778,-128.7286111,HIGH,NA,NA,NA,L,18,17,1,75,18,93,0.11,,54.0,594,18723,594,187.2,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,52.65527778,-128.7286111,HIGH,NA,NA,NA,Hr,17,12,5,,,,0.11,,54.0,2968,,2968,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,52.65527778,-128.7286111,HIGH,NA,NA,NA,Hh,12,0,12,,,,0.11,,54.0,7123,,7123,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,52.65527778,-128.7286111,HIGH,NA,NA,NA,Bhf,0,-40,40,,,,0.86,60,3.8,5174,,5174,,,,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Ferro-Humic Podozol,52.65527778,-128.7286111,HIGH,NA,NA,NA,BC,-40,-75,35,,,,1.71,60,1.20,2864,,2864,,0.068,37.5,57.5,-0.069089402,,,
KRANABETTER AND BANNER 2000,Aristazabal9,Orthic Humo-Ferric Podzol,52.6825,-129.0527778,HIGH,NA,NA,NA,L,8,7,1,32,8,40,0.14,,55.2,773,26898,773,269.0,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,52.6825,-129.0527778,HIGH,NA,NA,NA,Hr,7,0.5,7,,,,0.14,,55.2,5027,,5027,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,52.6825,-129.0527778,HIGH,NA,NA,NA,Hh,0.5,0,1,,,,0.14,,55.2,387,,387,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,52.6825,-129.0527778,HIGH,NA,NA,NA,Bf,0,-30,30,,,,1.46,5,5.0,20597,,20597,,,,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Humo-Ferric Podzol,52.6825,-129.0527778,HIGH,NA,NA,NA,Bhf,-30,-32,2,,,,1.46,5,0.41,114,,114,,0.413,11,31,-0.412507219,,,
KRANABETTER AND BANNER 2000,EmilyCarr10,Orthic Drystic Burnisol,52.97,-129.1925,HIGH,NA,NA,NA,L,13,12,1,32,13,45,0.16,,56.8,909,16086,909,160.9,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Drystic Burnisol,52.97,-129.1925,HIGH,NA,NA,NA,Fm,12,10,2,,,,0.16,,56.8,1818,,1818,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Drystic Burnisol,52.97,-129.1925,HIGH,NA,NA,NA,Hr,10,0,10,,,,0.16,,56.8,9090,,9090,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Drystic Burnisol,52.97,-129.1925,HIGH,NA,NA,NA,Bm,0,-30,30,,,,1.45,15,1.2,4252,,4252,,,,20,,,,
KRANABETTER AND BANNER 2000,,Orthic Drystic Burnisol,52.97,-129.1925,HIGH,NA,NA,NA,Bhf,-30,-32,2,,,,1.03,15,0.10,17,,17,,0.096,11,31,-0.095831337,,,
KRANABETTER AND BANNER 2000,Campania11,Orthic Drystic Burnisol,53.08777778,-129.4727778,HIGH,NA,NA,NA,L,6,5,1,8,6,14,0.16,,45.8,732,8108,732,81.1,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Drystic Burnisol,53.08777778,-129.4727778,HIGH,NA,NA,NA,Fm,5,0,5,,,,0.16,,45.8,3661,,3661,,,,,,,,
KRANABETTER AND BANNER 2000,,Orthic Drystic Burnisol,53.08777778,-129.4727778,HIGH,NA,NA,NA,Bm,0,-8,8,,,,1.45,25,4.3,3715,,3715,,,,,,,,
KRANABETTER AND BANNER 2000,Hanmer12,Orthic Ferro-Humic Podozol,54.03527778,-130.2608333,HIGH,NA,NA,NA,L,22,21,1,75,22,97,0.11,,51.5,567,55274,567,552.7,,,,,,,
