Row,SOURCE,BEC Number,ID,GGROUP_EXP,ORDER_ONLY,LAT,LON,LATLON_Q,Elevation,Slope,Aspect,Horizon,UpperDepth,LowerDepth,DEPTH,Texture,HorizonType,MIN_D,FF_D,Zone,SurficialMaterialSurf,MINERAL_D,FF_D,TOTAL_D,BULK.DENSITY,CF,NEW.CCONC,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M,next,,,,,
85,,228,17,DYB,Brunisolic,,,,,,,Ae,0,-8,8,LS,2,8,0,CWH,FG,,,,1.24,20,3.36,2666,,2666,,,,,,,
86,,228,17,DYB,Brunisolic,,,,,,,Bm,-8,-35,27,SL,2,27,0,CWH,FG,,,,1.45,30,1.2,3289,,3289,,,,,,,
87,,228,17,DYB,Brunisolic,,,,,,,BC,-35,-50,15,,2,15,0,CWH,FG,,,,1.45,50,0.38,413,,413,,,,,,,
88,SEE BEC FILE,250,18,HFP,Podzolic,49.11870956,121.1632156,HIGH,NA,NA,NA,Ln,4,0,4,NA,1,0,4,SWB,M,55,4,59,0.14,0,43.21,2420,14995,2420,14995,1,,,,,
89,,278,18,HFP,Podzolic,,,,,,,Ah,0,-10,10,SIL,2,10,0,IDF,FG,,,,1.31,25,4.74,4657,,4657,,,,,,,
90,,278,18,HFP,Podzolic,,,,,,,Bf,-10,-55,45,SIL,2,45,0,IDF,FG,,,,1.38,25,1.7,7918,,7918,,,,,,,
91,SEE BEC FILE,248,19,HFP,Podzolic,49.12171173,121.1640778,HIGH,NA,NA,NA,Ln,8,3,5,NA,1,0,5,BAFA,M,43,8,51,0.14,0,43.21,3025,11832,3025,11832,1,,,,,
92,,248,19,HFP,Podzolic,,,,,,,Fa,3,2,1,NA,1,0,1,BAFA,M,,,,0.14,0,43.21,605,,605,,,,,,,
93,,248,19,HFP,Podzolic,,,,,,,Hh,2,0,2,NA,1,0,2,BAFA,M,,,,0.14,0,36.65,1026,,1026,,,,,,,
94,,276,19,HFP,Podzolic,,,,,,,Ah,0,-4,4,SIL,2,4,0,IDF,FG,,,,1.31,0,4.74,2484,,2484,,,,,,,
