Row,HORIZON_ID,LOCATION_ID,HORIZON,HZN_ORG_MIN,UPPER_HZN_LIMIT,HZN_THICKNESS,BULK_DENSITY,DB_MEAS_EST,DB_EST_TYPE,CF_CLASS,CF_VOL_PCT,CF_FINAL,ORG_CARB_PCT,CARB_MEAS_EST,CCONTENT,TOTAL_C,CCONTENT_1M,TOTAL_C_1M
99,9507,1798,LFH,Organic,-3,3,0.14,Estimated,LOOKUP_DB,,NA,0,44.63,Measured,1874,7507,1874,75.1
100,9508,1798,Bfcc1,Mineral,0,12,1.46,Estimated,LOOKUP_DB,>65%,75,75,4.35,Measured,1905,,1905,
101,9509,1798,Bfcc2,Mineral,12,18,1.46,Estimated,LOOKUP_DB,>65%,75,75,2.87,Measured,1886,,1886,
102,9510,1798,Bmcc,Mineral,30,12,1.19,Estimated,LOOKUP_DB,>65%,75,75,1.49,Measured,532,,532,
103,9511,1798,CB,Mineral,42,27,1.19,Estimated,LOOKUP_DB,>65%,75,75,1.63,Measured,1309,,1309,
104,9512,1798,Rock,Mineral,69,31,NA,NA,NA,,NA,NA,NA,NA,NA,,NA,
105,9513,1799,LFH,Organic,-5,5,0.11,Estimated,LOOKUP_DB,,NA,0,59.39,Measured,3266,30568,3266,305.7
106,9514,1799,Bhf1,Mineral,0,25,0.86,Estimated,LOOKUP_DB,31-65%,48,48,7.32,Measured,8184,,8184,
107,9515,1799,Bhf2,Mineral,25,30,0.86,Estimated,LOOKUP_DB,31-65%,48,48,5.94,Measured,7969,,7969,
108,9516,1799,Bhf3,Mineral,55,45,0.86,Estimated,LOOKUP_DB,31-65%,48,48,5.54,Measured,11149,,11149,
109,9517,1800,L,Organic,-7,2,0.11,Estimated,LOOKUP_DB,,NA,0,33.51,Measured,737,76802,737,768.0
110,9518,1800,FH,Organic,-5,5,0.11,Estimated,LOOKUP_DB,,NA,0,34.99,Measured,1924,,1924,
111,9519,1800,Bhfcc,Mineral,0,14,0.86,Estimated,LOOKUP_DB,10-30%,20,20,5.67,Measured,5461,,5461,
112,9520,1800,Bhf1,Mineral,14,20,0.86,Estimated,LOOKUP_DB,10-30%,20,20,6.86,Measured,9439,,9439,
113,9521,1800,Bhf2,Mineral,34,20,0.86,Estimated,LOOKUP_DB,10-30%,20,20,10.54,Measured,14503,,14503,
114,9522,1800,Bhf3,Mineral,54,21,0.86,Estimated,LOOKUP_DB,10-30%,20,20,14.19,Measured,20502,,20502,
115,9523,1800,Bhf4,Mineral,75,25,0.86,Estimated,LOOKUP_DB,10-30%,20,20,14.09,Measured,24235,,24235,
116,9524,1801,LFH,Organic,-3,3,0.16,Estimated,LOOKUP_DB,,NA,0,49.91,Measured,2396,8611,2396,86.1
117,9525,1801,Bm1,Mineral,0,18,1.45,Estimated,LOOKUP_DB,>65%,75,75,2.34,Measured,1527,,1527,
118,9526,1801,Bm2,Mineral,18,26,1.45,Estimated,LOOKUP_DB,>65%,75,75,1.9,Measured,1791,,1791,
119,9527,1801,C1,Mineral,44,56,1.38,Estimated,LOOKUP_DB,>65%,75,75,1.5,Measured,2898,,2898,
120,9528,1802,LF,Organic,-7,7,0.11,Estimated,LOOKUP_DB,,NA,0,56.95,Measured,4385,24090,4385,240.9
121,9529,1802,Ae,Mineral,0,7,0.93,Estimated,LOOKUP_DB,31-65%,48,48,1.33,Measured,450,,450,
122,9530,1802,Bhf1,Mineral,7,22,0.86,Estimated,LOOKUP_DB,31-65%,48,48,8.23,Measured,8097,,8097,
123,9531,1802,Bc,Mineral,29,20,1.71,Estimated,LOOKUP_DB,31-65%,48,48,1.48,Measured,2632,,2632,
124,9532,1802,CBc,Mineral,49,51,1.71,Estimated,LOOKUP_DB,31-65%,48,48,1.88,Measured,8526,,8526,
125,9903,1879,FH,Organic,-3,3,0.16,Estimated,LOOKUP_DB,,NA,0,38.9,Estimated,1867,17813,1867,178.1
126,9904,1879,Bm1,Mineral,0,25,1.45,Estimated,LOOKUP_DB,,NA,0,1.63,Measured,5909,,5909,
127,9905,1879,Bm2,Mineral,25,63,1.45,Estimated,LOOKUP_DB,,NA,0,1.04,Measured,9500,,9500,
128,9906,1879,C,Mineral,88,12,1.38,Estimated,LOOKUP_DB,,10,10,0.36,Measured,537,,537,
129,9923,1885,H,Organic,-9,9,0.14,Estimated,LOOKUP_DB,,NA,0,49.32,Measured,6214,26889,6214,268.9
130,9924,1885,Ae,Mineral,0,3,1.31,Estimated,LOOKUP_DB,,NA,,1.6,Estimated,629,,629,
131,9925,1885,Bhf,Mineral,3,7,0.87,Estimated,LOOKUP_DB,,30,30,5.58,Measured,2379,,2379,
132,9926,1885,Bf1,Mineral,10,30,1.46,Estimated,LOOKUP_DB,,55,55,3.99,Measured,7864,,7864,
133,9927,1885,Bf2,Mineral,40,30,1.46,Estimated,LOOKUP_DB,,55,55,3.38,Measured,6662,,6662,
